date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2022-03-09,1473.74,864004300.0,1489.25,190158600.0,444.6,126871014.0,113.37,98881262.0,13.88,24112200.0
2022-03-10,1479.08,607737500.0,1490.24,148748300.0,447.64,106713555.0,115.29,94459060.0,14.02,11866200.0
2022-03-11,1466.54,1159784462.0,1477.14,178186800.0,442.2,141714273.0,115.37,161038939.0,14.2,11264100.0
2022-03-14,1446.25,787290900.0,1461.1,177210100.0,436.57,115113677.0,115.05,92207442.0,14.29,15981400.0
2022-03-15,1452.74,618581000.0,1468.89,136415100.0,443.52,90318485.0,115.56,69253062.0,14.26,8699100.0
2022-03-16,1459.33,527855900.0,1472.69,106836400.0,446.18,72320585.0,116.04,46913361.0,14.49,11226300.0
2022-03-17,1461.34,666857100.0,1469.92,109378100.0,446.16,94352281.0,115.94,57335306.0,14.56,10242000.0
2022-03-18,1469.1,935872693.0,1476.94,148418800.0,451.21,101117978.0,116.04,102712102.0,14.49,9945300.0
2022-03-21,1494.95,694839300.0,1502.67,124702300.0,458.29,91495919.0,116.18,74944221.0,14.54,11691900.0
2022-03-22,1503.78,873002500.0,1513.4,155225300.0,461.35,121582765.0,116.8,65539785.0,14.65,11007000.0
2022-03-23,1502.34,763655100.0,1505.59,132331300.0,462.1,114363787.0,116.58,65674310.0,14.51,9099900.0
2022-03-24,1498.26,732998300.0,1497.44,115640400.0,462.8,108555608.0,117.27,62062504.0,14.47,8114800.0
2022-03-25,1498.5,947688031.0,1498.36,109442400.0,461.75,116060571.0,117.0,119600448.0,14.35,8093800.0
2022-03-28,1483.18,958280800.0,1484.16,177240800.0,454.89,137435191.0,116.01,91467857.0,14.22,12952600.0
2022-03-29,1497.76,661152000.0,1500.57,110331000.0,461.24,136342140.0,117.37,69955998.0,14.44,7464600.0
2022-03-30,1490.51,854370000.0,1500.23,163897200.0,451.19,119248353.0,116.88,94775014.0,14.74,30137100.0
2022-03-31,1492.15,603940100.0,1508.53,121691400.0,449.62,110695716.0,117.04,62832257.0,14.87,12822600.0
2022-04-01,1516.44,1087307257.0,1542.47,195611900.0,454.1,108381216.0,117.19,116581085.0,15.03,16261600.0
2022-04-04,1524.7,702062500.0,1548.04,160184300.0,458.69,80167981.0,117.67,75909898.0,14.9,12192900.0
2022-04-05,1520.03,635012500.0,1539.2,124889400.0,456.1,79595268.0,117.7,52996268.0,14.74,9967500.0
2022-04-06,1522.9,875381800.0,1557.11,202014800.0,446.83,107389302.0,116.84,53083151.0,15.05,16787300.0
2022-04-07,1502.35,731702000.0,1541.96,198569600.0,441.61,82063308.0,115.81,50450939.0,15.21,24107500.0
2022-04-08,1482.0,714336000.0,1524.31,156252000.0,432.02,78361781.0,113.84,101813827.0,14.99,11429800.0
2022-04-11,1482.0,714336000.0,1524.31,156252000.0,432.02,78361781.0,113.84,101813827.0,14.99,11429800.0
2022-04-12,1455.25,631737200.0,1507.2,148316100.0,421.01,85792278.0,112.53,59273575.0,14.56,15344600.0
2022-04-13,1477.2,610048700.0,1525.39,143102400.0,427.45,76122280.0,113.3,44080619.0,14.72,13561000.0
2022-04-14,1472.12,469987900.0,1518.01,118276500.0,423.69,53737933.0,113.41,34842480.0,14.58,7906600.0
2022-04-15,1458.56,607674500.0,1493.74,181851100.0,416.71,63710781.0,112.36,79651323.0,14.17,15110600.0
