date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-05-18,1252.68,635896900,1378.59,252829000,294.64,119029185,80.06,58799580,11.13,23037800
2021-05-19,1262.49,625623500,1401.71,279667100,295.25,127072659,79.81,39050622,11.54,29370700
2021-05-20,1278.22,683043500,1424.92,270201500,295.1,124981587,79.75,62295071,11.54,17314900
2021-05-21,1283.93,626704900,1425.04,267790400,297.99,133068895,81.63,117616427,11.58,19882300
2021-05-24,1297.98,641854700,1430.48,256209400,300.33,106821422,82.63,49530250,11.62,20486500
2021-05-25,1308.58,617120500,1444.01,209778800,301.59,116158832,82.91,60413426,11.97,22789800
2021-05-26,1316.7,660896200,1455.11,233969200,304.86,135927932,83.06,57446712,12.54,33671000
2021-05-27,1303.57,666986400,1437.38,264785900,304.45,137922162,84.08,72146170,12.2,28188800
2021-05-28,1320.46,704736300,1458.78,300175000,310.46,168347721,86.11,125777531,12.6,26378900
2021-05-31,1328.05,686089600,1474.78,293022200,317.85,186255348,88.77,108911249,12.7,30395700
2021-06-01,1337.78,585998900,1482.92,255910200,318.47,201121773,88.87,97678718,12.77,16331400
2021-06-02,1340.78,743586200,1478.85,277182000,322.05,177534911,89.39,114675159,12.87,23682500
2021-06-03,1364.28,842889800,1504.37,318348000,329.95,222911965,90.67,117974612,13.76,29087000
2021-06-04,1374.05,874131500,1508.35,336486800,329.76,203077261,90.59,173155179,13.89,32896100
2021-06-07,1358.78,828123200,1484.1,309807000,318.63,224180487,89.06,111753623,13.29,30845500
2021-06-08,1319.88,859332400,1438.97,328466400,306.39,222240015,86.4,109111208,12.47,29808700
2021-06-09,1332.9,752808200,1457.76,279949900,316.87,150540758,87.25,85859163,12.89,30626600
2021-06-10,1323.58,667770700,1451.18,253444200,311.32,142409663,87.17,76370650,12.67,15556800
2021-06-11,1351.74,696720700,1487.61,264960500,316.69,149963101,88.93,118022887,13.17,24998200
2021-06-14,1361.72,706965800,1495.51,249571500,319.01,165179098,88.83,91917133,13.14,24587000
2021-06-15,1367.36,696896400,1487.04,239018700,318.29,152977522,88.87,73281722,13.14,24890500
2021-06-16,1356.52,733597200,1465.58,241627200,313.65,174294882,88.82,82299380,12.94,20702200
2021-06-17,1359.92,705807300,1461.91,211574000,317.07,146396249,89.55,69812905,13.34,25763900
2021-06-18,1377.77,743046800,1481.3,198662900,318.73,134983259,90.22,133381688,13.56,26023700
2021-06-21,1372.63,724919500,1478.29,205148100,316.24,136596831,89.71,80058534,13.59,18818600
2021-06-22,1379.97,686837800,1489.24,211641600,317.09,139095386,90.1,77252975,14.04,35453700
2021-06-23,1376.87,636933200,1489.53,197836400,315.8,122072303,90.04,89753411,14.01,23680200
2021-06-24,1379.72,531324500,1486.96,175257700,315.08,89522419,89.68,51033399,14.04,22472700
2021-06-25,1390.12,511420300,1500.3,180213400,318.22,117562574,89.48,95167003,14.08,18753300
2021-06-28,1405.81,645842300,1521.41,215306300,323.1,128011369,89.8,68490705,14.41,18609500
2021-06-29,1410.04,599995500,1529.97,203545700,323.79,128677504,90.3,69204645,14.53,18304800
2021-06-30,1408.55,523401100,1529.0,192676300,323.32,99873579,90.25,53663440,14.49,25995400
2021-07-01,1417.08,689994700,1545.14,253521100,325.72,151103067,90.44,83382205,14.53,24500700
2021-07-02,1420.27,640414600,1554.59,242776200,328.01,139570599,90.64,105232078,14.53,17761000
2021-07-05,1411.13,765943500,1557.41,309397900,327.76,138292126,90.47,80002701,14.41,26337400
2021-07-06,1354.79,765555500,1488.42,298837000,318.51,160239441,89.07,87297523,13.41,22451700
2021-07-07,1388.55,725684700,1538.77,306583400,319.83,145981688,89.14,74849315,14.08,31637800
2021-07-08,1374.68,521754500,1521.21,218880200,315.98,94624225,88.49,47509424,14.08,20529400
2021-07-09,1347.14,707063900,1494.43,287668400,306.73,119824697,87.08,115522439,13.99,38065300
2021-07-12,1296.3,900010700,1443.1,412553600,292.98,183296158,83.89,87286224,13.45,34531800
