date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2023-10-18,1103.4,869615115.0,1125.56,233779669.0,227.11,128681255.0,85.95,54862583.0,18.18,30941169.0
2023-10-19,1087.85,565321311.0,1104.89,167054358.0,223.45,76368295.0,85.0,33551805.0,17.95,20817862.0
2023-10-20,1108.03,551429250.0,1123.69,155018429.0,228.45,92062157.0,85.62,46327027.0,18.45,16376045.0
2023-10-23,1093.53,454989854.0,1106.85,131347897.0,226.26,63585358.0,85.27,24790786.0,18.18,11956440.0
2023-10-24,1105.9,402534037.0,1117.12,111176687.0,228.89,60868688.0,85.54,22325789.0,18.18,9719646.0
2023-10-25,1101.66,439725814.0,1113.32,105667769.0,227.01,71975402.0,85.57,29885077.0,18.22,12068922.0
2023-10-26,1055.45,1039942289.0,1064.95,311965987.0,214.98,175496838.0,82.79,64567723.0,17.27,31049018.0
2023-10-27,1060.62,578821510.0,1067.57,169788227.0,218.04,79252585.0,83.1,39611301.0,17.69,15022932.0
2023-10-30,1042.4,415365664.0,1047.63,130483713.0,211.34,64599266.0,82.28,22086164.0,17.42,16180859.0
2023-10-31,1028.19,648004448.0,1039.38,192430267.0,206.17,102731340.0,80.93,36563109.0,17.42,20798250.0
2023-11-01,1039.66,539972091.0,1051.65,166634386.0,209.65,95200830.0,81.7,35442907.0,18.14,19151053.0
2023-11-02,1075.47,667009654.0,1087.5,195290707.0,217.97,116214718.0,83.97,45099960.0,19.13,26653194.0
2023-11-03,1076.78,649923945.0,1086.19,204025758.0,217.75,91410974.0,84.16,39278480.0,19.02,20508387.0
2023-11-06,1089.66,508936305.0,1103.52,169880988.0,219.59,76203308.0,85.05,27605093.0,19.51,20389981.0
2023-11-07,1080.29,480141780.0,1092.71,133939557.0,218.29,88848102.0,84.61,31644159.0,19.55,19872495.0
2023-11-08,1113.43,800215243.0,1129.95,233543138.0,227.03,124639016.0,86.17,50719988.0,20.42,34863736.0
2023-11-09,1113.89,928460378.0,1122.95,232096393.0,228.22,129997880.0,86.22,44339314.0,20.23,31376600.0
2023-11-10,1101.68,877008662.0,1109.05,206019690.0,226.65,124414971.0,86.03,53621321.0,20.08,28039532.0
2023-11-13,1100.07,663473944.0,1106.72,185290465.0,226.11,92360912.0,85.98,29461369.0,20.6,44016605.0
2023-11-14,1109.73,703358836.0,1119.28,222756879.0,227.43,82159830.0,86.65,34861682.0,20.45,23269182.0
2023-11-15,1122.5,800661750.0,1131.9,271945152.0,227.88,108473463.0,87.0,38988448.0,20.45,34627351.0
2023-11-16,1125.53,555157978.0,1132.6,140348333.0,229.56,101617131.0,87.13,29338154.0,20.6,16268486.0
2023-11-17,1101.19,1066006039.0,1103.53,261042642.0,226.54,147547228.0,86.02,62869124.0,20.08,38545535.0
2023-11-20,1103.66,688468182.0,1102.85,172531319.0,227.77,93266032.0,86.13,27262296.0,20.19,18258656.0
2023-11-21,1110.46,552332579.0,1108.6,128481913.0,229.8,91375979.0,86.22,26944489.0,20.49,26712452.0
2023-11-22,1113.82,755210854.0,1109.8,152453759.0,230.49,97419196.0,86.04,29050088.0,20.6,17022639.0
2023-11-23,1088.49,899564966.0,1082.68,170138762.0,224.54,129161144.0,84.95,46874520.0,19.58,21692399.0
2023-11-24,1095.61,821052812.0,1087.34,188316650.0,226.1,122446777.0,84.99,46162248.0,20.0,26238500.0
2023-11-27,1088.06,462595978.0,1078.42,127317305.0,223.89,55340300.0,84.5,21861669.0,19.92,16731713.0
2023-11-28,1095.43,548105206.0,1088.51,132961752.0,224.39,77889793.0,84.66,23722105.0,20.23,18870086.0
2023-11-29,1102.8,514743500.0,1093.16,122280001.0,227.03,76692427.0,85.04,25706455.0,20.45,22512100.0
2023-11-30,1094.13,606826839.0,1081.7,141164328.0,226.15,97902132.0,84.99,24186641.0,20.11,21215143.0
2023-12-01,1102.16,518711253.0,1090.39,123503176.0,226.26,74201824.0,85.19,30649185.0,20.38,15407548.0
2023-12-04,1120.49,984773992.0,1107.16,261994295.0,231.31,136584775.0,85.97,54298494.0,20.83,42364507.0
2023-12-05,1115.97,707845758.0,1100.42,155131809.0,231.34,91868931.0,86.02,37340922.0,20.64,22519458.0
